# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"text","text_en","cmp_code","eu_code"
"We will not negotiate any new trade deals before first investing in American competitiveness at home.",NA,"406",NA
"We will aggressively enforce existing trade laws and agreements.",NA,"406",NA
"And we will insist on strong and enforceable standards for labor,",NA,"701",NA
"human rights,",NA,"201.2",NA
"and the environment in any future trade agreements,",NA,"501",NA
"so that they build the American middle class,",NA,"704",NA
"create jobs,",NA,"701",NA
"raise wages,",NA,"701",NA
"and strengthen our communities.",NA,"606.1",NA
"We will use all tools at our disposal to take action against countries that steal American intellectual property",NA,"401",NA
"or manipulate their currencies to get an unfair advantage in international markets.",NA,"406",NA
"Democrats believe that if the United States does not work with its allies and partners to shape the terms of global trade, China will shape them for us",NA,"107",NA
"—and American working families and the middle class will pay the price.",NA,"704",NA
"That’s why we will work with our allies to mobilize more than half the world’s economy to stand up to China and negotiate from the strongest possible position.",NA,"107",NA
"Democrats believe that fighting for American workers also means pushing back against global corruption,",NA,"304",NA
"and we will make anti-corruption a priority in our foreign policy.",NA,"304",NA
"The Trump Administration’s own shady dealings and its enthusiasm for authoritarianism abroad have only emboldened the world’s autocrats and kleptocrats.",NA,"304",NA
"Democrats will implement new transparency measures aimed at preventing illicit money from flowing through the American financial system,",NA,"304",NA
"including a ban on anonymous shell companies,",NA,"304",NA
"expansions of anti-money laundering requirements,",NA,"304",NA
"disclosure of beneficial ownership,",NA,"304",NA
"and greater oversight of cross-border transactions.",NA,"304",NA
"We will combat bribery abroad by expanding on the Foreign Corrupt Practices Act,",NA,"304",NA
"and we will deploy the full range of America’s diplomatic and economic tools to target kleptocrats —including targeted sanctions and visa bans.",NA,"304",NA
"When used strategically—as one of the tools employed, alongside our allies, to achieve clear policy objectives—financial and economic sanctions are an effective way to advance many core U.S. national security objectives.",NA,"105",NA
"But when misused and overused, sanctions not only undermine our interests,",NA,"105",NA
"they threaten one of the United States’ greatest strategic assets: the importance of the American financial system.",NA,"105",NA
"Democrats will guard against the improper application of economic and financial sanctions that incentivize foreign businesses to bypass our financial system,",NA,"105",NA
"corrode the power and potential of sanctions,",NA,"105",NA
"undercut the potential of our diplomacy,",NA,"105",NA
"hurt our economy,",NA,"105",NA
"and threaten the key role of the U.S. dollar as the world’s reserve currency.",NA,"601.1",NA
"Africa",NA,"H",NA
"Democrats will revitalize our partnerships across Africa",NA,"107",NA
"to unleash enormous potential for growth and innovation",NA,"410",NA
"and address together challenges and stresses across the continent.",NA,"107",NA
"Africa is home to some of the world’s fastest growing economies.",NA,"410",NA
"Its population will roughly double to more than two billion by the middle of this century,",NA,"107",NA
"and Nigeria is projected to have the third largest population in the world.",NA,"107",NA
"American diplomacy can play a critical role in helping ensure that the region’s vulnerabilities to climate change and pandemic disease—and persistent challenges of regional conflict, illicit financial flows, poor governance, and food, water, and health insecurity—do not overwhelm its enormous opportunities.",NA,"107",NA
"At a moment when U.S.-Africa ties are increasingly important to our interests and our economy,",NA,"107",NA
"and when our friends and rivals are investing more resources and diplomatic attention across the continent,",NA,"107",NA
"the Trump Administration has treated Africa and its people with neglect and contempt.",NA,"305.2",NA
"We will repair our relationships with African partners and publics,",NA,"107",NA
"renewing our commitment to fight for democracy",NA,"202.1",NA
"and human rights;",NA,"201.2",NA
"advance peace",NA,"106",NA
"and security;",NA,"104",NA
"bolster economic growth",NA,"410",NA
"and public health;",NA,"504",NA
"and promote clean energy,",NA,"501",NA
"sustainable agriculture,",NA,"703.1",NA
"environmental protection,",NA,"501",NA
"and decent work for all",NA,"701",NA
"with special regard for youth and women.",NA,"503",NA
"Democrats will recommit to the Obama-Biden Administration’s National Strategy for Combating Wildlife Trafficking",NA,"501",NA
"and ban importation into the United States of hunting trophies from Africa’s iconic and endangered big cats.",NA,"501",NA
"Democrats will seize opportunities to strengthen fragile political transitions in Sudan and Ethiopia while deepening relations with key partners.",NA,"107",NA
"We will not shirk from our longstanding pledge to assist countries in Central Africa, the Sahel, and the Horn of Africa to counter extremism",NA,"104",NA
"and address root causes of insecurity.",NA,"104",NA
"We will support the implementation of the African Union’s African Continental Free Trade Agreement and its Agenda 2063",NA,"107",NA
"and promote a multi-faceted economic engagement focused on increasing two-way and regional trade, promoting investment and partnership in key industries.",NA,"107",NA
"And we will assist in Africa’s recovery from the COVID-19 pandemic while expanding efforts to improve the resiliency of health systems across the continent.",NA,"504",NA
"Moreover, we will stand in solidarity with our African counterparts against structural racism in the United States and abroad,",NA,"503",NA
"and commit to elevate African voices in multilateral forums to solve the world’s most pressing problems.",NA,"107",NA
"Americas",NA,"H",NA
"Democrats believe the Western Hemisphere is America’s strategic home base —a region bound together by common values, history, and vision of a more prosperous, democratic, and secure future.",NA,"101",NA
"When the United States hosts the region’s leaders at next year’s Summit of the Americas—the first to be held here since the 1994 inaugural meeting in Miami—we will turn the page on the Trump Administration’s denigration and extortion of our neighbors,",NA,"101",NA
"and we will chart a new era of cooperation based on partnership and shared responsibility for the region we all call home.",NA,"101",NA
"Democrats will reaffirm the importance of North America to U.S. global economic competitiveness.",NA,"101",NA
"We will ensure the USMCA lives up to its commitment to create prosperity for American workers,",NA,"701",NA
"and we will strictly enforce compliance with its labor and environmental provisions.",NA,"101",NA
"We will reinvigorate and build upon the North American Plan for Animal and Pandemic Influenza launched under the Obama-Biden Administration",NA,"101",NA
"and work with our partners to recover from the COVID-19 pandemic, which has caused the biggest economic decline in history across Latin America and the Caribbean.",NA,"101",NA
"Rather than coerce our neighbors into supporting cruel migration policies, we will work with our regional and international partners to address the root causes of migration—violence and insecurity, weak rule of law, lack of educational and economic opportunity, pervasive corruption, and environmental degradation.",NA,"101",NA
"Rather than encourage climate denial and environmental devastation, we will rally the world to protect the Amazon from deforestation,",NA,"501",NA
"protect Indigenous peoples,",NA,"607.3",NA
"and help vulnerable nations in the Caribbean and Central America adapt to the impacts of climate change.",NA,"101",NA
"And rather than imitate populist demagogues, we will link arms with our neighbors to realize our shared aspirations for the region’s future.",NA,"101",NA
"We will reject President Trump’s failed Venezuela policy, which has only served to entrench Nicolás Maduro’s dictatorial regime",NA,"102",NA
"and exacerbate a human rights and humanitarian crisis.",NA,"201.2",NA
"To rise to the occasion of the world’s worst refugee crisis and worst humanitarian crisis outside a warzone in decades, the United States will mobilize its partners across the region and around the world to meet the urgent needs of the people of Venezuela,",NA,"101",NA
"and grant Temporary Protected Status to Venezuelans in the United States.",NA,"101",NA
"Democrats believe that the best opportunity to rescue Venezuela’s democracy is through smart pressure and effective diplomacy, not empty, bellicose threats untethered to realistic policy goals and motivated by domestic partisan objectives.",NA,"101",NA
"Democrats will also move swiftly to reverse Trump Administration policies that have undermined U.S. national interests",NA,"101",NA
"and harmed the Cuban people and their families in the United States,",NA,"101",NA
"including its efforts to curtail travel and remittances.",NA,"101",NA
"Rather than strengthening the regime, we will promote human rights and people-to-people exchanges,",NA,"201.2",NA
"and empower the Cuban people to write their own future.",NA,"101",NA
"Asia-Pacific",NA,"H",NA
"As a Pacific power, the United States should work closely with its allies and partners to advance our shared prosperity, security, and values",NA,"107",NA
"—and shape the unfolding Pacific Century.",NA,"107",NA
"Democrats’ approach to China will be guided by America’s national interests and the interests of our allies,",NA,"107",NA
"and draw on the sources of American strength",NA,"601.1",NA
"—the openness of our society,",NA,"202.1",NA
"the dynamism of our economy,",NA,"601.1",NA
"and the power of our alliances to shape and enforce international norms that reflect our values.",NA,"107",NA
"Undermining those strengths will not make us “tough on China.”",NA,"601.1",NA
"It would be a gift to the Chinese Communist Party.",NA,"601.1",NA
"Democrats will be clear, strong, and consistent in pushing back where we have profound economic, security, and human rights concerns about the actions of China’s government.",NA,"104",NA
"Democrats will protect the American worker from unfair trade practices by the Chinese government,",NA,"701",NA
"including currency manipulation",NA,"103.2",NA
"and benefiting from a misaligned exchange rate with the dollar,",NA,"103.2",NA
"illegal subsidies,",NA,"103.2",NA
"and theft of intellectual property.",NA,"401",NA
"We will rally friends and allies across the world to push back against China or any other country’s attempts to undermine international norms.",NA,"107",NA
"Democrats believe the China challenge is not primarily a military one,",NA,"105",NA
"but we will deter and respond to aggression.",NA,"104",NA
"We will underscore our global commitment to freedom of navigation",NA,"104",NA
"and resist the Chinese military’s intimidation in the South China Sea.",NA,"104",NA
"Democrats are committed to the Taiwan Relations Act",NA,"107",NA
"and will continue to support a peaceful resolution of cross-strait issues consistent with the wishes and best interests of the people of Taiwan.",NA,"107",NA
"Rather than stand with President Xi Jinping as he cracks down on Hong Kong’s autonomy, Democrats will stand for the democratic rights of its citizens.",NA,"202.1",NA
"We will fully enforce the Hong Kong Human Rights and Democracy Act, including by sanctioning officials, financial institutions, companies, and individuals responsible for undercutting Hong Kong’s autonomy.",NA,"202.1",NA
"And we will bring the world together to condemn the internment of more than one million Uyghurs and other ethnic minorities in concentration camps in China, using the tools provided by the Uyghur Human Rights Policy Act.",NA,"201.2",NA
"Democrats will pursue this strategy without resorting to self-defeating, unilateral tariff wars",NA,"407",NA
"or falling into the trap of a new Cold War.",NA,"104",NA
"Those mistakes would only serve to exaggerate China’s weight,",NA,"103.1",NA
"over-militarize our policy,",NA,"105",NA
"and hurt American workers.",NA,"701",NA
"America must approach our relationship with China with confidence —the confidence to lead international efforts to push back on malign behavior",NA,"601.1",NA
"while also pursuing cooperation on issues of mutual interest like climate change",NA,"501",NA
"and nonproliferation",NA,"105",NA
"and ensuring that the U.S.-China rivalry does not put global stability at risk.",NA,"104",NA
"Rather than denigrate our partners and encourage tensions between our allies, the United States will work to strengthen ties with and between our key allies in the region, including Japan, South Korea, and Australia,",NA,"104",NA
"and we will work to ensure that our alliances with Thailand and the Philippines live up to the values that our peoples share.",NA,"104",NA
"Together with our allies",NA,"104",NA
"—and through diplomacy with North Korea —",NA,"105",NA
"we will constrain and contain the threat posed by North Korea’s nuclear program and its regional belligerence.",NA,"104",NA
"We will build a sustained, coordinated diplomatic campaign to advance the longer-term goal of denuclearization.",NA,"105",NA
"And we will not forget the people of North Korea—",NA,"201.2",NA
"Democrats will support humanitarian aid",NA,"201.2",NA
"and pressure the regime to cease its gross human rights abuses.",NA,"201.2",NA
"We will reinvigorate our commitment to robust engagement with regional multilateral institutions like the Association of Southeast Asian Nations,",NA,"107",NA
"which will help us promote the rule of law",NA,"202.1",NA
"and sustainable, inclusive economic growth on both sides of the Pacific.",NA,"416.2",NA
"And we will continue to invest in our strategic partnership with India—the world’s largest democracy, a nation of great diversity, and a growing Asia-Pacific power.",NA,"107",NA
"Europe",NA,"H",NA
"In the 30 years since the fall of the Berlin wall, the United States and Europe have strived to build a transatlantic community of free and democratic societies that works together to bring peace, prosperity, and dignity to all our citizens.",NA,"202.1",NA
"The Trump Administration has put that dream in grave danger.",NA,"305.2",NA
"Donald Trump either does not know or has forgotten who America’s friends are.",NA,"305.2",NA
"He sees Europe as a foe—not a friend—of the United States.",NA,"305.2",NA
"He sees Vladimir Putin’s Russia as a strategic partner—not a strategic rival.",NA,"305.2",NA
"He sees anti-European Union, far-right nationalists as political allies—not destructive antagonists.",NA,"305.2",NA
"Democrats, on the other hand, believe a united, democratic, and prosperous Europe is vital to the United States.",NA,"107",NA
"We believe the transatlantic alliance is the ballast of our global influence.",NA,"107",NA
"Ours is the largest economic relationship in the world, making up nearly half of global GDP.",NA,"107",NA
"NATO is the world’s most formidable military alliance.",NA,"104",NA
"And together, we stand as champions of universal rights",NA,"201.2",NA
"and freedoms around the world.",NA,"201.1",NA
"Transatlantic cooperation is crucial to addressing almost every global challenge we face.",NA,"107",NA
"Democrats will reinvigorate the transatlantic partnership to repair the damage of the Trump era",NA,"107",NA
"and preempt the risks of broader structural divergence between the U.S. and Europe.",NA,"107",NA
"We will work together with individual European countries and the European Union to counter threats to our democracies",NA,"202.1",NA
"and enhance shared resilience against corruption and kleptocracy.",NA,"304",NA
"We will support greater European integration,",NA,"108",NA
"stronger defense capabilities,",NA,"104",NA
"and greater energy security.",NA,"416.2",NA
"We will enhance our coordination and joint standard setting on technology, trade, and investment,",NA,"107",NA
"and we will work to boost our post-COVID-19 economic recovery",NA,"410",NA
"and reduce inequality.",NA,"503",NA
"Democrats will join our European partners in standing up to a revanchist Russia.",NA,"104",NA
"We will not allow Moscow to interfere in our democracies",NA,"202.1",NA
"or chip away at our resolve.",NA,"104",NA
"We will reaffirm America’s commitment to NATO",NA,"104",NA
"and defending our allies.",NA,"104",NA
"We will maintain transatlantic support for Ukraine’s reform efforts and its territorial integrity.",NA,"103.1",NA
"Democrats will lower regional—and global—threats by reinforcing nuclear arms control.",NA,"104",NA
"We believe Europe is our natural partner in managing areas of competition with China and will work to establish common priorities, strategies, and tools.",NA,"107",NA
"And just as we came together to stand up to communism and respond to global terrorism, we will come together with Europe to confront the existential challenge of climate change.",NA,"501",NA
"Middle East",NA,"H",NA
"Turning the page on two decades of large-scale military deployments and open-ended wars in the Middle East does not mean the United States will abandon a region where we and our partners still have enduring interests.",NA,"104",NA
"Democrats believe it’s past time, however, to rebalance our tools, engagement, and relationships in the Middle East away from military intervention—",NA,"105",NA
"leading with pragmatic diplomacy to lay the groundwork for a more peaceful, stable, and free region.",NA,"105",NA
"Democrats will call off the Trump Administration’s race to war with Iran",NA,"105",NA
"and prioritize nuclear diplomacy, de-escalation, and regional dialogue.",NA,"105",NA
"Democrats believe the United States should not impose regime change on other countries",NA,"103.1",NA
"and reject that as the goal of U.S. policy toward Iran.",NA,"103.1",NA
"We believe the Joint Comprehensive Plan of Action (JCPOA) remains the best means to verifiably cut off all of Iran’s pathways to a nuclear bomb.",NA,"105",NA
"The Trump Administration’s unilateral withdrawal from the JCPOA isolated us from our allies",NA,"107",NA
"and opened the door for Iran to resume its march toward a nuclear weapons capacity that the JCPOA had stopped.",NA,"104",NA
"That’s why returning to mutual compliance with the agreement is so urgent.",NA,"105",NA
"The nuclear deal was always meant to be the beginning, not the end, of our diplomacy with Iran.",NA,"105",NA
"Democrats support a comprehensive diplomatic effort to extend constraints on Iran’s nuclear program",NA,"105",NA
"and address Iran’s other threatening activities, including its regional aggression, ballistic missile program, and domestic repression.",NA,"104",NA
"Democrats also believe we need to reset our relations with our Gulf partners to better advance our interests and values.",NA,"107",NA
"The United States has an interest in helping our partners contend with legitimate security threats;",NA,"104",NA
"we will support their political and economic modernization",NA,"107",NA
"and encourage efforts to reduce regional tensions.",NA,"106",NA
"But we have no interest in continuing the blank-check era of the Trump Administration,",NA,"305.2",NA
"or indulging authoritarian impulses,",NA,"202.1",NA
"internal rivalries,",NA,"106",NA
"catastrophic proxy wars,",NA,"106",NA
"or efforts to roll back political openings across the region.",NA,"202.1",NA
"Effective relations with the Gulf will help us reconnect Iraq to its neighbors and protect the country’s stability, security, and sovereignty.",NA,"107",NA
"Democrats support a small, finite, and focused military presence to train our Iraqi partners so they can ensure the lasting defeat of ISIS.",NA,"104",NA
"We also support keeping up the offensive against ISIS in Syria to prevent it from regaining a foothold,",NA,"104",NA
"and will stand by Kurdish and other critical partners in that fight.",NA,"104",NA
"We will work to repatriate foreign fighter detainees,",NA,"201.2",NA
"and reinvigorate diplomacy to protect the humanitarian needs and human and civil rights of all Syrians",NA,"201.2",NA
"and find a political resolution for this horrific war.",NA,"105",NA
"Democrats are deeply concerned by the deepening crisis in Lebanon and are committed to work with the Lebanese people to promote political and economic reform, financial stability, and security.",NA,"107",NA
"Democrats believe a strong, secure, and democratic Israel is vital to the interests of the United States.",NA,"101",NA
"Our commitment to Israel’s security, its qualitative military edge, its right to defend itself, and the 2016 Memorandum of Understanding is ironclad.",NA,"101",NA
"Democrats recognize the worth of every Israeli and every Palestinian.",NA,"101",NA
"That’s why we will work to help bring to an end a conflict that has brought so much pain to so many.",NA,"101",NA
"We support a negotiated two-state solution that ensures Israel’s future as a Jewish and democratic state with recognized borders",NA,"101",NA
"and upholds the right of Palestinians to live in freedom and security in a viable state of their own.",NA,"101",NA
"Democrats oppose any unilateral steps by either side—including annexation—that undermine prospects for two states.",NA,"101",NA
"Democrats will continue to stand against incitement and terror.",NA,"104",NA
"We oppose settlement expansion.",NA,"101",NA
"We believe that while Jerusalem is a matter for final status negotiations, it should remain the capital of Israel,",NA,"101",NA
"an undivided city accessible to people of all faiths.",NA,"101",NA
"Democrats will restore U.S.-Palestinian diplomatic ties",NA,"107",NA
"and critical assistance to the Palestinian people in the West Bank and Gaza, consistent with U.S. law.",NA,"107",NA
"We oppose any effort to
unfairly single out and delegitimize Israel,",NA,"101",NA
"including at the United Nations",NA,"101",NA
"or through the Boycott, Divestment, and Sanctions Movement,",NA,"101",NA
"while protecting the Constitutional right of our citizens to free speech.",NA,"201.2",NA
"Preamble",NA,NA,NA
"With this platform, we the Republican Party reaffirm the principles that unite us in a common purpose.",NA,"601.1",NA
"We believe in American exceptionalism.",NA,"601.1",NA
"We believe the United States of America is unlike any other nation on earth.",NA,"601.1",NA
"We believe America is exceptional because of our historic role",NA,"601.1",NA
"— first as refuge,",NA,"602.2",NA
"then as defender,",NA,"104",NA
"and now as exemplar of liberty for the world to see.",NA,"201.1",NA
"We affirm — as did the Declaration of Independence: that all are created equal, endowed by their Creator with inalienable rights of life, liberty, and the pursuit of happiness.",NA,"601.1",NA
"We believe in the Constitution as our founding document.",NA,"203",NA
"We believe the Constitution was written not as a flexible document, but as our enduring covenant.",NA,"203",NA
"We believe our constitutional system — limited government, separation of powers, federalism, and the rights of the people — must be preserved uncompromised for future generations.",NA,"203",NA
"We believe political freedom and economic freedom are indivisible.",NA,"201.1",NA
"When political freedom and economic freedom are separated — both are in peril; when united, they are invincible.",NA,"201.1",NA
"We believe that people are the ultimate resource",NA,"202.1",NA
"— and that the people, not the government, are the best stewards of our country's God-given natural resources.",NA,"202.1",NA
"As Americans and as Republicans we wish for peace",NA,"106",NA
"— so we insist on strength.",NA,"104",NA
"We will make America safe.",NA,"104",NA
"We seek friendship with all peoples and all nations,",NA,"107",NA
"but we recognize and are prepared to deal with evil in the world.",NA,"104",NA
"Based on these principles, this platform is an invitation and a roadmap.",NA,"601.1",NA
"It invites every American to join us and shows the path to a stronger, safer, and more prosperous America.",NA,"606.2",NA
"This platform is optimistic because the American people are optimistic.",NA,"601.1",NA
"This platform lays out — in clear language — the path to making America great and united again.",NA,"601.1",NA
"For the past 8 years America has been led in the wrong direction.",NA,"305.1",NA
"Our economy has become unnecessarily weak with stagnant wages.",NA,"410",NA
"People living paycheck to paycheck are struggling, sacrificing, and suffering.",NA,"410",NA
"Americans have earned and deserve a strong and healthy economy.",NA,"410",NA
"Our standing in world affairs has declined significantly — our enemies no longer fear us and our friends no long trust us.",NA,"104",NA
"People want and expect an America that is the most powerful and respected country on the face of the earth.",NA,"601.1",NA
"The men and women of our military remain the world's best.",NA,"706",NA
"The have been shortchanged in numbers, equipment, and benefits by a Commander in Chief who treats the Armed Forces and our veterans as a necessary inconvenience.",NA,"104",NA
"The President and the Democratic party have dismantled Americans' system of healthcare.",NA,"505",NA
"They have replaced it with a costly and complicated scheme that limits choices and takes away our freedom.",NA,"201.1",NA
"The President and the Democratic party have abandoned their promise of being accountable to the American people.",NA,"202.1",NA
"They have nearly doubled the size of the national debt.",NA,"414",NA
"They refuse to control our borders",NA,"601.2",NA
"but try to control our schools, farms, businesses, and even our religious institutions.",NA,"201.1",NA
"They have directly attacked the production of American energy",NA,"401",NA
"and the industry-related jobs that have sustained families and communities.",NA,"701",NA
"The President has been regulating to death a free market economy that he does not like and does not understand.",NA,"401",NA
"He defies the laws of the United States by refusing to enforce those with which he does not agree.",NA,"305.2",NA
"And he appoints judges who legislate from the bench rather than apply the law.",NA,"203",NA
"We, as Republicans and Americans, cannot allow this to continue.",NA,"305.1",NA
"That is why the many sections of this platform affirm our trust in the people, our faith in their judgment, and our determination to help them take back their country.",NA,"202.1",NA
"This means removing the power from unelected, unaccountable government.",NA,"202.1",NA
"This means relieving the burden and expense of punishing government regulations.",NA,"401",NA
"And this means returning to the people and the states the control that belongs to them.",NA,"301",NA
"It is the control and the power to make their own decisions about what’s best for themselves and their families and communities.",NA,"202.1",NA
"This platform is many things: A handbook for returning decision-making to the people.",NA,"202.1",NA
"A guide to the constitutional rights of every American.",NA,"203",NA
"And a manual for the kind of sustained growth that will bring opportunity to all those on the sidelines of our society.",NA,"503",NA
"Every time we sing, ""God Bless America,” we are asking for help.",NA,"603",NA
"We ask for divine help that our country can fulfill its promise.",NA,"603",NA
"We earn that help by recommitting ourselves to the ideas and ideals that are the true greatness of America",NA,"601.1",NA
"Restoring the American Dream",NA,"H",NA
"Rebuilding the Economy and Creating Jobs",NA,"H",NA
"We are the party of a growing economy that gives everyone a chance in life, an opportunity to learn, work, and realize the prosperity freedom makes possible.",NA,"410",NA
"Government cannot create prosperity, though government can limit or destroy it.",NA,"401",NA
"Prosperity is the product of self-discipline, enterprise, saving and investment by individuals, but it is not an end in itself.",NA,"401",NA
"Prosperity provides the means by which citizens and their families can maintain their independence from government,",NA,"201.1",NA
"raise their children by their own values,",NA,"603",NA
"practice their faith,",NA,"603",NA
"and build communities of cooperation and mutual respect.",NA,"606.1",NA
"It is also the foundation for our nation's global leadership,",NA,"109",NA
"for it is the vigor of our economy which makes possible our military strength and our national security.",NA,"104",NA
"Pundits and Democrats tell us that we should accept the new normal of a slow-growing economy.",NA,"410",NA
"The consequences are too dire to ever accept that:",NA,"410",NA
"President Obama and his party will set a record of being the first modern president ever to leave office without a single calendar year of three percent economic growth.",NA,"410",NA
"As a result, the number of Americans living in poverty has increased by 7 million,",NA,"503",NA
"our nation's economy has lost nearly $8 trillion of cumulative output compared with an average recovery,",NA,"410",NA
"and the economic growth shortfall has left a cumulative real after-tax per person personal income shortfall of nearly $17,000 compared with an average recovery.",NA,"410",NA
"Under President Obama and the Democrats, new private-sector jobs are three million below where they should have been with just average modern post-recession growth.",NA,"701",NA
"Our labor force participation rate has plunged to at or below 63 percent for far too long, lows last seen two generations ago before President Reagan was elected in 1980.",NA,"701",NA
"Business closures have exceeded business startups throughout the Obama Presidency.",NA,"410",NA
"Strong growth, more jobs, increasing incomes, and expanding opportunity are all in short supply under President Obama and the Democrats.",NA,"410",NA
"We repudiate the absurd idea this is the best America can do.",NA,"601.1",NA
"The American people rejected that nonsense the last time it was offered, in the historic election of 1980,",NA,"410",NA
"and we ask them to join us now to again repudiate the false gospel of America's di- minishment and retreat.",NA,"410",NA
"We offer instead our vision of an opportunity society based on the economics of inclusion.",NA,"503",NA
"Fair and Simple Taxes for Growth",NA,"H",NA
"Republicans consider the establishment of a pro-growth tax code a moral imperative.",NA,"410",NA
"More than any other public policy, the way government raises revenue — how much, at what rates, under what circumstances, from whom, and for whom — has the greatest impact on our economy's performance.",NA,"410",NA
"It powerfully influences the level of economic growth and job creation,",NA,"410",NA
"which translates into the level of opportunity for those who would otherwise be left behind.",NA,"503",NA
"Getting our tax system right will be the most important factor in driving the entire economy back to prosperity.",NA,"410",NA
"The current tax code is rightly the object of both anger and mockery.",NA,"401",NA
"Its length is exceeded only by its complexity.",NA,"401",NA
"We must start anew.",NA,"401",NA
"That will be an enormous undertaking and, if it is to succeed, it must command the attention and approval of the American people.",NA,"606.2",NA
"It cannot be engineered from the top down,",NA,"606.2",NA
"but must have a common sense approach, and be simplified.",NA,"402",NA
"Our proposal is straightforward.",NA,"402",NA
"Wherever tax rates penalize thrift or discourage investment, they must be lowered.",NA,"402",NA
"Wherever current provisions of the code are disincentives for economic growth, they must be changed.",NA,"402",NA
"We will not divide the American people into winners and losers.",NA,"401",NA
"We will eliminate as many special interest provisions and loopholes as possible and curb corporate welfare,",NA,"403",NA
"especially where their erosion of the tax base has created pressure for higher rates.",NA,"403",NA
"We will be mindful of the burdens on families with children",NA,"503",NA
"and the impact on an aging population.",NA,"503",NA
"We will seek simplicity and clarity so that every taxpayer can understand how much of their income is consumed by the federal government.",NA,"401",NA
"We will welcome all to this enterprise — to discuss, debate, challenge, and amend —",NA,"606.2",NA
"so that together we can restore economic growth for the American people",NA,"410",NA
"and, even more important, renew their faith in the future.",NA,"601.1",NA
"Our Tax Principles",NA,"H",NA
"To ensure that past abuses will not be repeated, we assert these fundamental principles.",NA,"401",NA
"We oppose retroactive taxation.",NA,"401",NA
"We condemn attempts by activist judges at any level of government to seize the power of the purse from the people's elected representatives by ordering higher taxes.",NA,"202.3",NA
"We oppose tax policies that deliberately divide Americans or promote class warfare.",NA,"401",NA
"Because of the vital role of religious organizations, charities, and fraternal benevolent societies in fostering generosity and patriotism,",NA,"603",NA
"they should not be subject to taxation and donations to them should remain deductible.",NA,"603",NA
"To guard against hypertaxation of the American people in any restructuring of the federal tax system,",NA,"401",NA
"any value added tax or national sales tax must be tied to the simultaneous repeal of the Sixteenth Amendment, which established the federal income tax.",NA,"401",NA
"A Competitive America",NA,"H",NA
"Competitiveness equals jobs.",NA,"701",NA
"That equation governs our policies regarding U.S. corporations in the global economy.",NA,"402",NA
"Private investment is a key driver of economic growth and job creation.",NA,"402",NA
"After falling dramatically during the recession, private investment has recovered at a disappointing pace",NA,"402",NA
"due in part to high corporate tax rates",NA,"402",NA
"and increasing regulatory burdens and uncertainty.",NA,"402",NA
"American businesses now face the world's highest corporate tax rates.",NA,"402",NA
"That's like putting lead shoes on your cross-country team.",NA,"402",NA
"It reduces companies' ability to compete overseas, encourages them to move abroad, lessens their investment,",NA,"402",NA
"cripples job creation here at home, lowers American wages,",NA,"701",NA
"and fosters the avoidance of tax liability",NA,"403",NA
"— without actually increasing tax revenues.",NA,"402",NA
"A more damaging policy is hard to imagine.",NA,"402",NA
"We propose to level the international playing field by lowering the corporate tax rate to be on a par with, or below, the rates of other industrial nations.",NA,"402",NA
"We endorse the recommendation of the National Commission on Fiscal Responsibility and Reform, as well as the current Administration's Export Council, to switch to a territorial system of taxation  so that profits earned and taxed abroad may be repatriated for job-creating investment here at home.",NA,"402",NA
"We believe American companies should be headquartered in America.",NA,"402",NA
"We should reduce barriers to accomplishing that goal.",NA,"402",NA
"A Winning Trade Policy",NA,"H",NA
"International trade is crucial for all sectors of America's economy.",NA,"407",NA
"Massive trade deficits are not.",NA,"407",NA
"We envision a worldwide multilateral agreement among nations committed to the principles of open markets, what has been called a “Reagan Economic Zone,” in which free trade will truly be fair trade for all concerned.",NA,"407",NA
"We need better negotiated trade agreements that put America first.",NA,"406",NA
"When trade agreements have been carefully negotiated with friendly democracies, they have resulted in millions of new jobs here at home supported by our exports.",NA,"407",NA
"When those agreements do not adequately protect U.S. interests, U.S. sovereignty, or when they are violated with impunity, they must be rejected.",NA,"109",NA
"We cannot allow foreign governments to limit American access to their markets while stealing our designs, patents, brands, know-how, and technology.",NA,"109",NA
"We cannot allow China to continue its currency manipulation, exclusion of U.S. products from government purchases, and subsidization of Chinese companies to thwart American imports.",NA,"109",NA
"The current Administration's way of dealing with these violations of world trade standards has been a virtual surrender.",NA,"109",NA
"Republicans understand that you can succeed in a negotiation only if you are willing to walk away from it.",NA,"109",NA
"A Republican president will insist on parity in trade",NA,"407",NA
"and stand ready to implement countervailing duties if other countries refuse to cooperate.",NA,"407",NA
"At the same time, we look to broaden our trade agreements with countries which share our values and commitment to fairness,",NA,"107",NA
"along with transparency in our commercial and business practices.",NA,"403",NA
"In pursuing that objective, the American people demand transparency, full disclosure,",NA,"403",NA
"protection of our national sovereignty, and tough negotiation on the part of those who are supposed to advance the interests of U.S. workers.",NA,"109",NA
"Significant trade agreements should not be rushed or undertaken in a Lame Duck Congress.",NA,"305.3",NA
"Freeing Financial Markets",NA,"H",NA
"The Republican vision for American banking calls for establishing transparent, efficient markets where consumers can obtain loans they need at reasonable rates based on market conditions.",NA,"401",NA
"Unfortunately, in response to the financial institutions crisis of 2008-2009, the Democratic-controlled Congress enacted the Wall Street Reform and Consumer Protection Act, otherwise known as Dodd-Frank.",NA,"401",NA
